"Date","GSPC.Open","GSPC.High","GSPC.Low","GSPC.Close","GSPC.Volume","GSPC.Adjusted","spxdailyReturns"
"1985-01-02","167.199997","167.199997","165.190002","165.369995","67820000","165.369995","-0.0109449882346589"
"1985-01-03","165.369995","166.110001","164.380005","164.570007","88880000","164.570007","-0.00483756439612872"
"1985-01-04","164.550003","164.550003","163.360001","163.679993","77480000","163.679993","-0.00528720743930954"
"1985-01-07","163.679993","164.710007","163.679993","164.240005","86190000","164.240005","0.00342138333302593"
"1985-01-08","164.240005","164.589996","163.910004","163.990005","92110000","163.990005","-0.00152216264240859"
"1985-01-09","163.990005","165.570007","163.990005","165.179993","99230000","165.179993","0.007256466636488"
"1985-01-10","165.179993","168.309998","164.990005","168.309998","124700000","168.309998","0.018949056378759"
"1985-01-11","168.309998","168.720001","167.580002","167.910004","107600000","167.910004","-0.00237653142863219"
"1985-01-14","167.910004","170.550003","167.580002","170.509995","124900000","170.509995","0.015484431767389"
"1985-01-15","170.509995","171.820007","170.399994","170.809998","155300000","170.809998","0.0017594452454239"
"1985-01-16","170.809998","171.940002","170.410004","171.190002","135500000","171.190002","0.00222471754844225"
"1985-01-17","171.190002","171.339996","170.220001","170.729996","113600000","170.729996","-0.00268710786042279"
"1985-01-18","170.729996","171.419998","170.660004","171.320007","104700000","171.320007","0.00345581335338404"
"1985-01-21","171.320007","175.449997","171.309998","175.229996","146800000","175.229996","0.0228227226257351"
"1985-01-22","175.229996","176.630005","175.139999","175.479996","174800000","175.479996","0.00142669637451798"
"1985-01-23","175.479996","177.300003","175.149994","177.300003","144400000","177.300003","0.0103715924406563"
"1985-01-24","177.300003","178.160004","176.559998","176.710007","160700000","176.710007","-0.00332767055847153"
"1985-01-25","176.710007","177.75","176.539993","177.350006","122400000","177.350006","0.00362174735242932"
"1985-01-28","177.350006","178.190002","176.559998","177.399994","128400000","177.399994","0.000281860717839416"
"1985-01-29","177.399994","179.190002","176.580002","179.179993","115700000","179.179993","0.0100338165738608"
"1985-01-30","179.179993","180.270004","179.050003","179.389999","1.7e+08","179.389999","0.0011720393358872"
"1985-01-31","179.389999","179.830002","178.559998","179.630005","132500000","179.630005","0.00133790067081734"
"1985-02-01","179.630005","179.630005","178.440002","178.630005","105400000","178.630005","-0.00556699867597287"
"1985-02-04","178.630005","180.350006","177.75","180.350006","113700000","180.350006","0.00962884706855377"
"1985-02-05","180.350006","181.529999","180.070007","180.610001","143900000","180.610001","0.00144161348128818"
"1985-02-06","180.610001","181.5","180.320007","180.429993","1.41e+08","180.429993","-0.000996666845708146"
"1985-02-07","180.429993","181.960007","180.429993","181.820007","151700000","181.820007","0.00770389654673438"
"1985-02-08","181.820007","182.389999","181.669998","182.190002","116500000","182.190002","0.00203495207213356"
"1985-02-11","182.190002","182.190002","180.110001","180.509995","1.04e+08","180.509995","-0.0092211810832517"
"1985-02-12","180.509995","180.75","179.449997","180.559998","111100000","180.559998","0.000277009591629559"
"1985-02-13","180.559998","183.860001","180.5","183.350006","142500000","183.350006","0.015451971814931"
"1985-02-14","183.350006","183.949997","182.389999","182.410004","139700000","182.410004","-0.00512681739426843"
"1985-02-15","182.410004","182.649994","181.229996","181.600006","106500000","181.600006","-0.00444053496101003"
"1985-02-19","181.600006","181.610001","180.949997","181.330002","90400000","181.330002","-0.00148680611827733"
"1985-02-20","181.330002","182.100006","180.639999","181.179993","118200000","181.179993","-0.000827270712763856"
"1985-02-21","181.179993","181.179993","180.020004","180.190002","1.04e+08","180.190002","-0.00546412980598803"
"1985-02-22","180.190002","180.410004","179.229996","179.360001","93680000","179.360001","-0.00460625445800251"
"1985-02-25","179.360001","179.360001","178.130005","179.229996","89740000","179.229996","-0.000724827159205977"
"1985-02-26","179.229996","181.580002","179.160004","181.169998","114200000","181.169998","0.0108240921904612"
"1985-02-27","181.169998","181.869995","180.5","180.710007","107700000","180.710007","-0.00253900207030969"
"1985-02-28","180.710007","181.210007","180.330002","181.179993","100700000","181.179993","0.00260077462118634"
"1985-03-01","181.179993","183.889999","181.160004","183.229996","139900000","183.229996","0.0113147316436865"
"1985-03-04","183.229996","183.410004","181.399994","182.059998","102100000","182.059998","-0.00638540645932226"
"1985-03-05","182.059998","182.649994","181.419998","182.229996","116400000","182.229996","0.000933747126592809"
"1985-03-06","182.229996","182.25","180.589996","180.649994","116900000","180.649994","-0.00867037279636448"
"1985-03-07","180.649994","180.649994","179.440002","179.509995","112100000","179.509995","-0.00631053992728053"
"1985-03-08","179.509995","179.970001","179.070007","179.100006","96390000","179.100006","-0.00228393410628749"
"1985-03-11","179.100006","179.460007","178.149994","178.789993","84110000","178.789993","-0.00173094913240817"
"1985-03-12","178.789993","180.139999","178.699997","179.660004","92840000","179.660004","0.00486610567740207"
"1985-03-13","179.660004","179.960007","178.020004","178.190002","101700000","178.190002","-0.00818213273556419"
"1985-03-14","178.190002","178.529999","177.610001","177.839996","103400000","177.839996","-0.00196422917151086"
"1985-03-15","177.839996","178.410004","176.529999","176.529999","105200000","176.529999","-0.00736615513644079"
"1985-03-18","176.529999","177.660004","176.529999","176.880005","94020000","176.880005","0.00198269983562402"
"1985-03-19","176.880005","179.559998","176.869995","179.539993","119200000","179.539993","0.0150383758752155"
"1985-03-20","179.539993","179.779999","178.789993","179.080002","107500000","179.080002","-0.00256205312428637"
"1985-03-21","179.080002","180.220001","178.889999","179.350006","95930000","179.350006","0.00150772837270797"
"1985-03-22","179.350006","179.919998","178.860001","179.039993","99250000","179.039993","-0.00172853632355049"
"1985-03-25","179.039993","179.039993","177.850006","177.970001","74040000","177.970001","-0.00597627369210193"
"1985-03-26","177.970001","178.860001","177.880005","178.429993","89930000","178.429993","0.00258466032148867"
"1985-03-27","178.429993","179.800003","178.429993","179.539993","1.01e+08","179.539993","0.00622092721821725"
"1985-03-28","179.539993","180.600006","179.429993","179.539993","99780000","179.539993","0"
"1985-03-29","179.539993","180.660004","179.539993","180.660004","101400000","180.660004","0.00623822570829652"
"1985-04-01","180.660004","181.270004","180.429993","181.270004","89900000","181.270004","0.00337650828348268"
"1985-04-02","181.270004","181.860001","180.279999","180.529999","101700000","180.529999","-0.00408233565217992"
"1985-04-03","180.529999","180.529999","178.639999","179.110001","95480000","179.110001","-0.00786571765283172"
"1985-04-04","179.110001","179.130005","178.289993","179.029999","86910000","179.029999","-0.000446664058697691"
"1985-04-08","179.029999","179.460007","177.860001","178.029999","79960000","178.029999","-0.0055856560665009"
"1985-04-09","178.029999","178.669998","177.970001","178.210007","83980000","178.210007","0.00101111049267594"
"1985-04-10","178.210007","179.899994","178.210007","179.419998","108200000","179.419998","0.00678969166978374"
"1985-04-11","179.419998","180.910004","179.419998","180.190002","108400000","180.190002","0.00429162862882208"
"1985-04-12","180.190002","180.550003","180.059998","180.539993","86220000","180.539993","0.00194234417068277"
