"symbol","date","open","high","low","close","volume","adjusted","gap_type","gap_size","range","dailyReturns","adjustedDailyReturns","relativeVolume","weekday","month"
"LUB","1996-01-02","22.25","22.5","22.125","22.375","38000","7.853271","NONE","0","0.0169491525423729","0.00561797752808989","0.0021750948251832","0","2","NA"
"LUB","1996-01-03","22.375","22.5","22.25","22.375","25800","7.853271","NONE","0","0.0112359550561798","0","0.000950537301259523","-0.321052631578947","3","NA"
"LUB","1996-01-04","22.5","22.75","22.25","22.375","58100","7.853271","NONE","0","0.0224719101123595","-0.00555555555555556","-0.000270741616941604","1.25193798449612","4","NA"
"LUB","1996-01-05","22.25","22.375","22","22.125","25800","7.765525","NONE","0","0.0170454545454545","-0.00561797752808989","0.00401527398143684","-0.555938037865749","5","NA"
"LUB","1996-01-08","22.25","22.625","22.125","22.625","42600","7.941016","NONE","0","0.0225988700564972","0.0168539325842697","-0.0140162942492792","0.651162790697674","1","NA"
"LUB","1996-01-09","22.5","22.625","22.25","22.5","24900","7.897145","NONE","0","0.0168539325842697","0","-0.0145684598510718","-0.415492957746479","2","NA"
"LUB","1996-01-10","22.25","22.5","22.125","22.125","95800","7.765525","NONE","0","0.0169491525423729","-0.00561797752808989","-0.0123819105414833","2.84738955823293","3","NA"
"LUB","1996-01-11","22.125","22.25","21.75","21.75","38400","7.633907","NONE","0","0.0229885057471264","-0.0169491525423729","0.0239836769052431","-0.599164926931106","4","NA"
"LUB","1996-01-12","21.875","21.875","21.625","21.625","38000","7.590034","NONE","0","0.0115606936416185","-0.0114285714285714","0.00996844433656751","-0.0104166666666667","5","NA"
"LUB","1996-01-15","21.625","21.875","21.625","21.75","11400","7.633907","NONE","0","0.0115606936416185","0.00578034682080925","-0.00908702335761201","-0.7","1","NA"
"LUB","1996-01-16","21.75","21.75","21.625","21.75","28800","7.633907","NONE","0","0.00578034682080925","0","0.014370969456509","1.52631578947368","2","NA"
"LUB","1996-01-17","21.75","21.75","21.5","21.5","42400","7.546163","NONE","0","0.0116279069767442","-0.0114942528735632","0.008092098194062","0.472222222222222","3","NA"
"LUB","1996-01-18","21.625","21.625","21","21.125","42400","7.414541","NONE","0","0.0297619047619048","-0.023121387283237","0.0262053047188285","0","4","NA"
"LUB","1996-01-19","21.125","21.5","21","21.5","46600","7.546163","NONE","0","0.0238095238095238","0.0177514792899408","-0.011849159384931","0.0990566037735849","5","NA"
"LUB","1996-01-22","21.375","21.625","21.375","21.625","14600","7.590034","NONE","0","0.0116959064327485","0.0116959064327485","-0.00912982278798347","-0.686695278969957","1","NA"
"LUB","1996-01-23","21.625","21.625","21.5","21.5","50400","7.546163","NONE","0","0.00581395348837209","-0.00578034682080925","0.00478581474364713","2.45205479452055","2","NA"
"LUB","1996-01-24","21.5","21.625","21.25","21.375","80100","7.502289","NONE","0","0.0176470588235294","-0.00581395348837209","0.0175146082924883","0.589285714285714","3","NA"
"LUB","1996-01-25","21.375","21.5","21.125","21.25","74600","7.458415","NONE","0","0.0177514792899408","-0.00584795321637427","0.00112185331311314","-0.0686641697877653","4","NA"
"LUB","1996-01-26","21","21.125","20.75","21","17000","7.37067","NONE","0","0.0180722891566265","0","0.0074388048948587","-0.772117962466488","5","NA"
"LUB","1996-01-29","21.125","21.25","20.75","21","75200","7.37067","NONE","0","0.0240963855421687","-0.00591715976331361","0.0100997407949935","3.42352941176471","1","NA"
"LUB","1996-01-30","21","21.375","20.875","21.25","24800","7.458415","NONE","0","0.0239520958083832","0.0119047619047619","-0.00240482073738768","-0.670212765957447","2","NA"
"LUB","1996-01-31","21.375","21.375","20.875","21","24700","7.37067","NONE","0","0.0239520958083832","-0.0175438596491228","0.0268590953492487","-0.00403225806451613","3","NA"
"LUB","1996-02-01","20.875","20.875","20.375","20.5","100800","7.195177","NONE","0","0.0245398773006135","-0.0179640718562874","0.0218004322274593","3.08097165991903","4","NA"
"LUB","1996-02-02","20.375","20.625","20.25","20.375","56200","7.151304","NONE","0","0.0185185185185185","0","-0.00410361637333656","-0.442460317460317","5","NA"
"LUB","1996-02-05","20.5","20.75","20.125","20.625","150400","7.23905","NONE","0","0.031055900621118","0.00609756097560976","0.0026939050577169","1.67615658362989","1","NA"
"LUB","1996-02-06","20.75","21","20.5","21","53400","7.37067","NONE","0","0.024390243902439","0.0120481927710843","-0.00440897406682267","-0.644946808510638","2","NA"
"LUB","1996-02-07","20.875","21.125","20.875","21.125","70200","7.414541","NONE","0","0.0119760479041916","0.0119760479041916","-0.00640617507558683","0.314606741573034","3","NA"
"LUB","1996-02-08","21.125","21.5","21","21.375","129900","7.502289","NONE","0","0.0238095238095238","0.0118343195266272","-0.00238712665027067","0.85042735042735","4","NA"
"LUB","1996-02-09","21.5","21.5","21.125","21.375","174700","7.502289","NONE","0","0.0177514792899408","-0.00581395348837209","0.00627120347206169","0.344880677444188","5","NA"
"LUB","1996-02-12","21.25","21.5","21.125","21.25","61100","7.458415","NONE","0","0.0177514792899408","0","0.00773956311028507","-0.650257584430452","1","NA"
"LUB","1996-02-13","21","21.125","20.75","20.875","62100","7.326797","NONE","0","0.0180722891566265","-0.00595238095238095","0.0045312576884206","0.016366612111293","2","NA"
"LUB","1996-02-14","20.75","21","20.625","20.75","64900","7.282922","NONE","0","0.0181818181818182","0","-0.00746391867702348","0.0450885668276973","3","NA"
"LUB","1996-02-15","20.625","21.125","20.625","20.875","106800","7.326797","NONE","0","0.0242424242424242","0.0121212121212121","-0.018619289990477","0.645608628659476","4","NA"
"LUB","1996-02-16","20.75","20.875","20.75","20.875","72600","7.326797","NONE","0","0.00602409638554217","0.00602409638554217","-0.0111521854417718","-0.320224719101124","5","NA"
"LUB","1996-02-20","20.75","21","20.625","20.875","99200","7.326797","NONE","0","0.0181818181818182","0.00602409638554217","-0.0173361063646158","0.366391184573003","2","NA"
"LUB","1996-02-21","20.75","21.25","20.75","20.875","37600","7.326797","NONE","0","0.0240963855421687","0.00602409638554217","0.00560464274020543","-0.620967741935484","3","NA"
"LUB","1996-02-22","21.125","21.375","21","21.25","85400","7.458415","NONE","0","0.0178571428571429","0.00591715976331361","0.0106852309147568","1.27127659574468","4","NA"
"LUB","1996-02-23","21.375","21.375","20.75","21.125","53200","7.414541","NONE","0","0.0301204819277108","-0.0116959064327485","0.0120298650962117","-0.377049180327869","5","NA"
"LUB","1996-02-26","21","21.375","21","21","39800","7.37067","NONE","0","0.0178571428571429","0","-0.0130788292432784","-0.25187969924812","1","NA"
"LUB","1996-02-27","20.875","21","20.75","20.875","28400","7.326797","NONE","0","0.0120481927710843","0","-0.0049503918628222","-0.28643216080402","2","NA"
"LUB","1996-02-28","21","21.25","20.75","20.75","35500","7.282922","NONE","0","0.0240963855421687","-0.0119047619047619","0.00805767266665714","0.25","3","NA"
"LUB","1996-02-29","20.75","21","20.75","20.75","18700","7.282922","NONE","0","0.0120481927710843","0","-0.00670028227995352","-0.473239436619718","4","NA"
"LUB","1996-03-01","20.75","20.875","20.625","20.875","33400","7.326797","NONE","0","0.0121212121212121","0.00602409638554217","0.000128023351298531","0.786096256684492","5","NA"
"LUB","1996-03-04","21","21.625","20.875","21.375","57600","7.502289","NONE","0","0.0359281437125748","0.0178571428571429","-0.00786288016649735","0.724550898203593","1","NA"
"LUB","1996-03-05","21.25","21.5","21.125","21.5","23900","7.546163","NONE","0","0.0177514792899408","0.0117647058823529","-0.00411273370106499","-0.585069444444444","2","NA"
